key	value
brittney griner	2
tony dow '	2
britney	1
rules	1
jeff bezos	1
beyoncé	1
amore	1
jamie foxx wild sing	1
jamie	1
foxx	1
howard kleinberg dead	1
shawn mendes	1
june honey boo boo	1
doubles down	1
jerry jones	1
jim harbaugh	1
rhony	1
sonja morgan	1
lana del rey gets	1
rhoa	1
martell holt	1
shahs	1
mike charged	1
